,,,,,,,219-1216-v001,219-1216-v002,219-1216-v003,219-1216-v004,219-1216-v005,219-1216-v006,219-1216-v007,219-1216-v008,219-1216-v009,219-1216-v010,219-1216-v011,219-1205-v001,219-1205-v002,219-1203-v001,219-1203-v002,219-1203-v003,219-1203-v004,219-1203-v005,219-1203-v006,219-1203-v007,219-1203-v008,219-1128-v001,219-1128-v002,219-1128-v003,219-1128-v004,219-1128-v005,219-1128-v006,219-1128-v007,219-1128-v008,219-1128-v009,219-1128-v010
,,,,,,,日程第１ 令和七年度一般会計補正予算（第１号）,日程第２ 令和七年度特別会計補正予算（特第１号）,高次脳機能障害者支援法案（衆議院提出）,一般職の職員の給与に関する法律等の一部を改正する法律案（内閣提出、衆議院送付）,特別職の職員の給与に関する法律等の一部を改正する法律案（内閣提出、衆議院送付）,裁判官の報酬等に関する法律の一部を改正する法律案（内閣提出、衆議院送付）,検察官の俸給等に関する法律の一部を改正する法律案（内閣提出、衆議院送付）,地方交付税法及び特別会計に関する法律の一部を改正する法律案（内閣提出、衆議院送付）,防衛省の職員の給与等に関する法律の一部を改正する法律案（内閣提出、衆議院送付）,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案（衆議院提出）,国会議員の秘書の給与等に関する法律の一部を改正する法律案（衆議院提出）,日程第１ 気象業務法及び水防法の一部を改正する法律案（内閣提出、衆議院送付）,日程第２ 医療法等の一部を改正する法律案（第２１７回国会内閣提出、第２１９回国会衆議院送付）,日程第２ 愛知・名古屋アジア競技大会及び愛知・名古屋アジアパラ競技大会に関する特別措置法案（衆議院提出）,日程第３ 更生保護制度の充実を図るための保護司法等の一部を改正する法律案（内閣提出、衆議院送付）,日程第４ ストーカー行為等の規制等に関する法律の一部を改正する法律案（内閣提出、衆議院送付）,日程第５ 配偶者からの暴力の防止及び被害者の保護等に関する法律の一部を改正する法律案（内閣提出、衆議院送付）,日程第６ 日本放送協会令和二年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書,日程第７ 日本放送協会令和三年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書,日程第８ 日本放送協会令和四年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書,日程第９ 日本放送協会令和五年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書,国家公務員等の任命に関する件「食品安全委員会委員（春日文子君）」,国家公務員等の任命に関する件「個人情報保護委員会委員（藤村明子君、木田俊昭君及び藤井英治君）及び運輸審議会委員（堀川義弘君）」,国家公務員等の任命に関する件「個人情報保護委員会委員（新保史生君）」,国家公務員等の任命に関する件「証券取引等監視委員会委員長（中原亮一君）、同委員（加藤さゆり君及び橋本尚君）、電気通信紛争処理委員会委員（笠井之彦君、三尾美枝子君、小塚荘一郎君、中條祐介君及び前原賀代君）、中央更生保護審査会委員（久保美紀君）及び運輸安全委員会委員（堂園正人君、古川敦君、大野寛之君、鈴木美緒君及び新妻実保子君）」,国家公務員等の任命に関する件「電波監理審議会委員（大久保哲夫君）」,国家公務員等の任命に関する件「日本放送協会経営委員会委員（岩井睦雄君）」,国家公務員等の任命に関する件「日本放送協会経営委員会委員（前田香織君及び榊原陽子君）」,国家公務員等の任命に関する件「運輸審議会委員（大石美奈子君）」,国家公務員等の任命に関する件「公害健康被害補償不服審査会委員（星景子君）」,日程第１ 租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案（衆議院提出）
,,,,,,,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月16日,令和07年12月5日,令和07年12月5日,令和07年12月3日,令和07年12月3日,令和07年12月3日,令和07年12月3日,令和07年12月3日,令和07年12月3日,令和07年12月3日,令和07年12月3日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日,令和07年11月28日
議員名,政党/会派,選挙区,任期満了,情報URL,会派変更,欠席率,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v001.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v002.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v003.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v004.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v005.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v006.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v007.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v008.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v009.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v010.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1216-v011.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1205-v001.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1205-v002.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v001.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v002.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v003.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v004.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v005.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v006.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v007.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1203-v008.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v001.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v002.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v003.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v004.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v005.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v006.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v007.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v008.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v009.htm,https://www.sangiin.go.jp/japanese/touhyoulist/219/219-1128-v010.htm
青木一彦,自由民主党,鳥取・島根,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010001.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
青山繁晴,自由民主党,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016002.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
赤松健,自由民主党,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022003.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
浅尾慶一郎,自由民主党,神奈川,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/5998003.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
朝日健太郎,自由民主党,東京,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016004.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
阿達雅志,自由民主党,比例,令和10年7月25日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7014002.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
有村治子,自由民主党,比例,令和13年7月28日,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7001006.htm,False,0.0%,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成
